"","Cap1","Cap2","Time","Distance"
"48678",436,255,2325,0.742751657689164
"48694",436,3008,2326,3.39057938833704
"48695",436,3310,2326,1.27958638086688
"48696",436,100,2326,0.609371658431864
"48697",436,116,2326,0.432911111199516
"48698",436,449,2326,0.447819943504083
"48699",436,255,2326,0.77374597091035
"48715",436,3008,2327,3.36403053892336
"48716",436,3310,2327,1.27085460482307
"48717",436,100,2327,0.624526227231491
"48718",436,116,2327,0.430263895998723
"48719",436,449,2327,0.447819943504083
"48720",436,255,2327,0.779091228676078
"48736",436,3008,2328,3.36403053892336
"48737",436,3310,2328,1.27085460482307
"48738",436,100,2328,0.656580313290004
"48739",436,116,2328,0.430263895998723
"48740",436,449,2328,0.447819943504083
"48741",436,255,2328,0.779091228676078
"48757",436,3008,2329,3.38824752785404
"48758",436,3310,2329,1.21303847997498
"48759",436,100,2329,0.71140542800853
"48760",436,116,2329,0.434122168289066
"48761",436,449,2329,0.483873884912174
"48762",436,255,2329,0.78221063365311
"48778",436,3008,2330,3.39228748072875
"48779",436,3310,2330,1.21522407929567
"48780",436,100,2330,0.717605459079012
"48781",436,116,2330,0.434025679079015
"48782",436,449,2330,0.487191543851081
"48783",436,255,2330,0.778774234871699
"48799",436,3008,2331,3.39228748072875
"48800",436,3310,2331,1.21502955803552
"48801",436,100,2331,0.717605459079012
"48802",436,116,2331,0.441504776984349
"48803",436,449,2331,0.42107699485961
"48804",436,255,2331,0.698033384874964
"48820",436,3008,2332,3.37363185933335
"48821",436,3310,2332,1.33003378370626
"48822",436,100,2332,0.629733146816967
"48823",436,116,2332,0.509138892346676
"48824",436,449,2332,0.469535601206128
"48825",436,255,2332,0.777226586588493
"48841",436,3008,2333,3.39197405726356
"48842",436,3310,2333,1.3401240383263
"48843",436,100,2333,0.657836753989924
"48844",436,116,2333,0.571683081698244
"48845",436,449,2333,0.488490306454488
"48846",436,255,2333,0.773690567175276
"48862",436,3008,2334,3.45677719001746
"48863",436,3310,2334,1.30754690248572
"48864",436,100,2334,0.674088801939329
